,Bank_Name,Market_Cap,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,316.03,367.98,32438.7
1,Bank of America,231.52,169.01,196.79,17347.79
2,Industrial and Commercial Bank of China,194.56,142.03,165.38,14578.38
3,Agricultural Bank of China,160.68,117.3,136.58,12039.75
4,HDFC Bank,157.91,115.27,134.22,11832.2
5,Wells Fargo,155.87,113.79,132.49,11679.34
6,HSBC Holdings PLC,148.9,108.7,126.56,11157.08
7,Morgan Stanley,140.83,102.81,119.71,10552.39
8,China Construction Bank,139.82,102.07,118.85,10476.71
9,Bank of China,136.81,99.87,116.29,10251.17
